epoch,train_loss,val_mae,val_dice
1,0.3401670098304749,,
2,0.28405864894390104,,
3,0.2617693194746971,,
4,0.2476921508461237,,
5,0.23335282750427722,0.055311909383710695,0.7843684285294776
6,0.2294650386273861,,
7,0.21927277371287346,,
8,0.21640564143657684,,
9,0.20642706029117108,,
10,0.2065700503438711,0.04981989263757771,0.7891071216732848
11,0.1983619172126055,,
12,0.19507727399468422,,
13,0.19836055532097815,,
14,0.1905843613296747,,
15,0.19030221305787565,0.04623599607935723,0.7901123014150881
16,0.19078491106629372,,
17,0.18643046475946903,,
18,0.18207255661487579,,
19,0.18127960652112962,,
20,0.17702337518334388,0.046326900741048886,0.7968853840640947
