epoch,train_loss,val_mae,val_dice
1,0.33870789855718614,,
2,0.2817936020344496,,
3,0.2630335368216038,,
4,0.24700840786099434,,
5,0.2329223094135523,0.053453391819607975,0.7851873355753282
6,0.22515035443007947,,
7,0.22022899709641933,,
8,0.21690697506070136,,
9,0.20677901640534402,,
10,0.20393058203160763,0.048068918926897,0.7949071736896739
11,0.20143564186990262,,
12,0.19703615821897982,,
13,0.19671747274696827,,
14,0.19083048164844513,,
15,0.18854369312524796,0.04535935605492662,0.7908446636854434
16,0.18559209562838078,,
17,0.18406651102006436,,
18,0.1812431338429451,,
19,0.17966872707009315,,
20,0.17915846206247807,0.045127290410592276,0.7925338137383554
