epoch,train_loss,val_mae,val_dice
1,0.3461959552764893,,
2,0.29426716551184656,,
3,0.279232684224844,,
4,0.26385515436530116,,
5,0.25305762991309166,0.05980531440353861,0.778651030624614
6,0.24840127646923066,,
7,0.24028757870197295,,
8,0.23739102333784104,,
9,0.22972237229347228,,
10,0.2258500147610903,0.055751704081308605,0.7910397216385486
11,0.22306705877184868,,
12,0.22224290892481804,,
13,0.2217927983403206,,
14,0.21760155081748964,,
15,0.21640197247266768,0.053076568004839564,0.7984606004228779
16,0.21326160214841366,,
17,0.21196975499391557,,
18,0.2081429296731949,,
19,0.2068232388794422,,
20,0.20480559438467025,0.05141763341631375,0.7958390841297075
