epoch,train_loss,val_mae,val_dice
1,0.46445264339447023,,
2,0.33791713386774064,,
3,0.3085517903417349,,
4,0.2929112420976162,,
5,0.27696335323154925,0.06097716527680556,0.750327487786611
6,0.26722175657749175,,
7,0.2593411974608898,,
8,0.2505735984444618,,
9,0.24564351551234723,,
10,0.24062311232089997,0.05733142690915687,0.7631704456665936
11,0.23566282741725444,,
12,0.22949319064617157,,
13,0.22878255903720857,,
14,0.2219217973947525,,
15,0.2205913320928812,0.05550755699183427,0.7651555386244082
16,0.21806063666939735,,
17,0.21194847084581853,,
18,0.20872813813388347,,
19,0.20763836614787579,,
20,0.2035566246509552,0.05367324893892396,0.7676989541334265
